compactor-1  | 2026-05-16T14:58:40.378229464Z 2026-05-16T14:58:40.378169Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=compactor-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=3be21063-bafa-4e0e-91a9-1d366cefdb6f num_cpus=8
compactor-1  | 2026-05-16T14:58:40.399178422Z 2026-05-16T14:58:40.399149Z  INFO influxdb3_catalog::catalog::update: set generation duration level=3 duration_ns=86400000000000
compactor-1  | 2026-05-16T14:58:40.399947297Z 2026-05-16T14:58:40.399898Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"00e0ee177175fd51634caa66668b8310\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000010.catalog" })
compactor-1  | 2026-05-16T14:58:40.399981006Z 2026-05-16T14:58:40.399952Z  INFO influxdb3_catalog::catalog::update: set generation duration level=4 duration_ns=604800000000000
compactor-1  | 2026-05-16T14:58:40.400718547Z 2026-05-16T14:58:40.400681Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"a163e11f6b168d0ed0333dfa637fc906\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000011.catalog" })
compactor-1  | 2026-05-16T14:58:40.400752089Z 2026-05-16T14:58:40.400723Z  INFO influxdb3_catalog::catalog::update: set generation duration level=5 duration_ns=2592000000000000
compactor-1  | 2026-05-16T14:58:40.401367172Z 2026-05-16T14:58:40.401322Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"21e6bba5a53860daf38469880863ac43\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000012.catalog" })
compactor-1  | 2026-05-16T14:58:40.401413506Z 2026-05-16T14:58:40.401370Z  INFO influxdb3_lib::commands::serve: setting up compaction service (Compactor mode)
compactor-1  | 2026-05-16T14:58:40.401416631Z 2026-05-16T14:58:40.401383Z  INFO influxdb3_lib::commands::serve: acquiring compactor lease (ttl=30s)
compactor-1  | 2026-05-16T14:58:40.401417381Z 2026-05-16T14:58:40.401389Z  INFO influxdb3_lib::commands::serve: compaction service started
compactor-1  | 2026-05-16T14:58:40.401418006Z 2026-05-16T14:58:40.401391Z  INFO influxdb3_lib::commands::serve: setting up telemetry store
compactor-1  | 2026-05-16T14:58:40.401418672Z 2026-05-16T14:58:40.401395Z  WARN influxdb3_lib::commands::serve: server started without auth (`--without-auth` switch), all token creation and regeneration of admin token endpoints are disabled
compactor-1  | 2026-05-16T14:58:40.401421631Z 2026-05-16T14:58:40.401401Z  INFO influxdb3_write::compaction: Starting compaction service with interval: 30s
compactor-1  | 2026-05-16T14:58:40.401822214Z 2026-05-16T14:58:40.401785Z  INFO influxdb3_lib::commands::serve: setting up server with authz disabled for paths paths_without_authz=[]
compactor-1  | 2026-05-16T14:58:40.401825089Z 2026-05-16T14:58:40.401804Z  INFO influxdb3_server: startup time: 23ms address=0.0.0.0:8181
compactor-1  | 2026-05-16T14:58:55.407057263Z 2026-05-16T14:58:55.406925Z  INFO influxdb3_write::leases: lease _locks/compactor.lease acquired by compactor-1-3be21063-bafa-4e0e-91a9-1d366cefdb6f (no prior holder)
compactor-1  | 2026-05-16T14:59:10.405861172Z 2026-05-16T14:59:10.405647Z  INFO influxdb3_write::compaction: Identified 1 compaction jobs
compactor-1  | 2026-05-16T14:59:10.405921006Z 2026-05-16T14:59:10.405759Z  INFO influxdb3_write::compaction: Starting compaction job: db=bench, table=sensors, gen1->gen2, inputs=8000
compactor-1  | 2026-05-16T14:59:10.442562797Z 2026-05-16T14:59:10.442435Z  WARN iox_query::physical_optimizer::dedup::split: cannot split dedup operation, fanout too wide n_split=500 max_dedup_split=100
compactor-1  | 2026-05-16T14:59:10.467175006Z 2026-05-16T14:59:10.467033Z  WARN iox_query::physical_optimizer::sort::parquet_sortness: cannot use pre-sorted parquet files, fan-out too wide n_files=8000 max_parquet_fanout=40
compactor-1  | 2026-05-16T14:59:12.708257673Z 2026-05-16T14:59:12.707608Z  INFO influxdb3_write::compaction: Compaction completed: 8000 files -> 1 files, 960000 rows, 57523941 bytes -> 8674792 bytes (84% reduction) in 2.297324667s
compactor-1  | 2026-05-16T14:59:12.708811840Z 2026-05-16T14:59:12.708779Z  INFO influxdb3_write::compaction: Compaction cycle completed: 1 jobs processed
