compactor-1  | 2026-05-16T18:21:57.942493005Z 2026-05-16T18:21:57.942422Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=compactor-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=fdce8dd5-cabf-44e2-aa99-da9a54290fe1 num_cpus=8
compactor-1  | 2026-05-16T18:21:57.966164755Z 2026-05-16T18:21:57.966113Z  INFO influxdb3_catalog::object_store: persisted next catalog sequence put_result=PutResult { e_tag: Some("\"8eab2f9fe9466ecdcf936cc0cb60714e\""), version: None } object_path=CatalogFilePath(Path { raw: "_catalog/catalogs/00000000000000000010.catalog" })
compactor-1  | 2026-05-16T18:21:57.966169380Z 2026-05-16T18:21:57.966139Z  INFO influxdb3_lib::commands::serve: setting up compaction service (Compactor mode)
compactor-1  | 2026-05-16T18:21:57.966170463Z 2026-05-16T18:21:57.966150Z  INFO influxdb3_lib::commands::serve: acquiring compactor lease (ttl=30s)
compactor-1  | 2026-05-16T18:21:57.966191338Z 2026-05-16T18:21:57.966171Z  INFO influxdb3_lib::commands::serve: compaction service started
compactor-1  | 2026-05-16T18:21:57.966193796Z 2026-05-16T18:21:57.966176Z  INFO influxdb3_write::compaction: Starting compaction service with interval: 30s
compactor-1  | 2026-05-16T18:21:57.966194588Z 2026-05-16T18:21:57.966179Z  INFO influxdb3_lib::commands::serve: setting up telemetry store
compactor-1  | 2026-05-16T18:21:57.966199838Z 2026-05-16T18:21:57.966184Z  WARN influxdb3_lib::commands::serve: server started without auth (`--without-auth` switch), all token creation and regeneration of admin token endpoints are disabled
compactor-1  | 2026-05-16T18:21:57.966602838Z 2026-05-16T18:21:57.966567Z  INFO influxdb3_lib::commands::serve: setting up server with authz disabled for paths paths_without_authz=[]
compactor-1  | 2026-05-16T18:21:57.966605880Z 2026-05-16T18:21:57.966590Z  INFO influxdb3_server: startup time: 24ms address=0.0.0.0:8181
compactor-1  | 2026-05-16T18:22:12.978232095Z 2026-05-16T18:22:12.977948Z  INFO influxdb3_write::leases: lease _locks/compactor.lease acquired by compactor-1-fdce8dd5-cabf-44e2-aa99-da9a54290fe1 (no prior holder)
compactor-1  | 2026-05-16T18:22:27.975075921Z 2026-05-16T18:22:27.974774Z  INFO influxdb3_write::compaction: Identified 1 compaction jobs
compactor-1  | 2026-05-16T18:22:27.975149546Z 2026-05-16T18:22:27.974887Z  INFO influxdb3_write::compaction: Starting compaction job: db=bench, table=sensors, gen1->gen2, inputs=8000
compactor-1  | 2026-05-16T18:22:28.013116171Z 2026-05-16T18:22:28.012979Z  WARN iox_query::physical_optimizer::dedup::split: cannot split dedup operation, fanout too wide n_split=500 max_dedup_split=100
compactor-1  | 2026-05-16T18:22:28.040333380Z 2026-05-16T18:22:28.040197Z  WARN iox_query::physical_optimizer::sort::parquet_sortness: cannot use pre-sorted parquet files, fan-out too wide n_files=8000 max_parquet_fanout=40
compactor-1  | 2026-05-16T18:22:30.144583422Z 2026-05-16T18:22:30.143224Z  INFO influxdb3_write::compaction: Compaction completed: 8000 files -> 1 files, 960000 rows, 57521787 bytes -> 8677295 bytes (84% reduction) in 2.162963751s
compactor-1  | 2026-05-16T18:22:30.144596214Z 2026-05-16T18:22:30.144213Z  INFO influxdb3_write::compaction: Compaction cycle completed: 1 jobs processed
