querier-1  | 2026-05-16T18:18:39.713603427Z 2026-05-16T18:18:39.713520Z  INFO influxdb3_lib::commands::serve: InfluxDB 3 Core server starting node_id=querier-1 git_hash=c68a5712951128aa65e146169fe814ea69f22f63 version=3.3.0-nightly uuid=94886503-a01b-4986-964f-3fe4021d1519 num_cpus=8
querier-1  | 2026-05-16T18:21:40.915905761Z 2026-05-16T18:21:40.915792Z  INFO iox_query::query_log: query when="planned" id=ed952634-e4a0-4a78-b85d-b9ce56bc872f namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:40.915927344Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:40.915928469Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:40.915929136Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:40.915929886Z FROM sensors
querier-1  | 2026-05-16T18:21:40.915930511Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:40.852983469+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.0613545 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:40.915931469Z 2026-05-16T18:21:40.915816Z  INFO iox_query::query_log: query when="permit" id=ed952634-e4a0-4a78-b85d-b9ce56bc872f namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:40.915932386Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:40.915933011Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:40.915933594Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:40.915942553Z FROM sensors
querier-1  | 2026-05-16T18:21:40.915943219Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:40.852983469+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.0613545 permit_duration_secs=0.001477625 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:40.916578803Z 2026-05-16T18:21:40.915923Z  INFO iox_query::query_log: query when="success" id=ed952634-e4a0-4a78-b85d-b9ce56bc872f namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:40.916584428Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:40.916585178Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:40.916585844Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:40.916586469Z FROM sensors
querier-1  | 2026-05-16T18:21:40.916588636Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:40.852983469+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.0613545 permit_duration_secs=0.001477625 execute_duration_secs=0.000100875 end2end_duration_secs=0.062939334 compute_duration_secs=4e-9 max_memory=0 ingester_metrics.latency_to_plan_secs=0.0 ingester_metrics.latency_to_full_data_secs=0.0 ingester_metrics.response_rows=0 ingester_metrics.partition_count=0 ingester_metrics.response_size=0 success=true running=false cancelled=false
querier-1  | 2026-05-16T18:21:42.806310053Z 2026-05-16T18:21:42.806241Z  INFO influxdb3_server::http: handling query_sql database=bench query_str=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:42.806320970Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:42.806322428Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:42.806323470Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:42.806324345Z FROM sensors
querier-1  | 2026-05-16T18:21:42.806325053Z GROUP BY region format=Csv
querier-1  | 2026-05-16T18:21:42.806325762Z 2026-05-16T18:21:42.806269Z  INFO influxdb3_server::query_executor: executing sql query database=bench query=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:42.806326887Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:42.806327553Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:42.806328220Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:42.806328928Z FROM sensors
querier-1  | 2026-05-16T18:21:42.806329637Z GROUP BY region params=None
querier-1  | 2026-05-16T18:21:42.806413012Z 2026-05-16T18:21:42.806296Z  INFO iox_query::query_log: query when="received" id=35f007ab-2612-4eb6-8a2f-b1641832d29e namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:42.806419970Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:42.806420720Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:42.806421303Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:42.806421928Z FROM sensors
querier-1  | 2026-05-16T18:21:42.806422512Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:42.806295095+00:00 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:42.831736303Z 2026-05-16T18:21:42.831641Z  INFO influxdb3_write::composite_write_buffer: composite get_table_chunks db_schema.id=DbId(1) table_def.table_id=TableId(0) local=8000 remote=1 remote_reachable=true tail=0 total=8001
querier-1  | 2026-05-16T18:21:42.840359387Z 2026-05-16T18:21:42.840281Z  WARN iox_query::physical_optimizer::dedup::split: cannot split dedup operation, fanout too wide n_split=501 max_dedup_split=100
querier-1  | 2026-05-16T18:21:42.872769303Z 2026-05-16T18:21:42.872656Z  INFO iox_query::query_log: query when="planned" id=35f007ab-2612-4eb6-8a2f-b1641832d29e namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:42.872797595Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:42.872799053Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:42.872800012Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:42.872800720Z FROM sensors
querier-1  | 2026-05-16T18:21:42.872801387Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:42.806295095+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.064915167 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:42.872802220Z 2026-05-16T18:21:42.872682Z  INFO iox_query::query_log: query when="permit" id=35f007ab-2612-4eb6-8a2f-b1641832d29e namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:42.872803137Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:42.872803720Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:42.872804303Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
querier-1  | 2026-05-16T18:21:42.872804928Z FROM sensors
querier-1  | 2026-05-16T18:21:42.872805512Z GROUP BY region query_params=Params { } issue_time=2026-05-16T18:21:42.806295095+00:00 partitions=500 parquet_files=8000 deduplicated_partitions=500 deduplicated_parquet_files=8000 plan_duration_secs=0.064915167 permit_duration_secs=0.001471416 success=false running=true cancelled=false
querier-1  | 2026-05-16T18:21:42.872934137Z 2026-05-16T18:21:42.872791Z  INFO iox_query::query_log: query when="success" id=35f007ab-2612-4eb6-8a2f-b1641832d29e namespace_id=0 namespace_name="influxdb3 oss" query_type="sql" query_text=-- Full-range aggregation across every host and every point. Forces a scan of
querier-1  | 2026-05-16T18:21:42.872939720Z -- every parquet file the querier knows about. Most-uncompacted-friendly:
querier-1  | 2026-05-16T18:21:42.872940928Z -- many small gen1 files = many small reads.
querier-1  | 2026-05-16T18:21:42.872948887Z SELECT region, AVG(temp) AS avg_temp, MAX(humidity) AS max_humid, COUNT(*) AS n
